,Company,Metric,FY,Value
0,TCS,EBIT,FY18,374560000.0
1,TCS,EBIT,FY17,305180000.0
2,TCS,EBIT,FY16,303410000.0
3,TCS,EBIT,FY15,288140000.0
4,TCS,EBITDA,FY18,395120000.0
5,TCS,EBITDA,FY17,325320000.0
6,TCS,EBITDA,FY16,323280000.0
7,TCS,EBITDA,FY15,307020000.0
8,TCS,Interest Expense,FY18,1980000.0
9,TCS,Interest Expense,FY17,520000.0
10,TCS,Interest Expense,FY16,320000.0
11,TCS,Interest Expense,FY15,330000.0
12,TCS,Net Income,FY18,314720000.0
13,TCS,Net Income,FY17,258260000.0
14,TCS,Net Income,FY16,262890000.0
15,TCS,Net Income,FY15,242700000.0
16,NTT,EBIT,FY18,123523000.0
17,NTT,EBIT,FY17,117110000.0
18,NTT,EBIT,FY16,100886000.0
19,NTT,EBIT,FY15,84015000.0
20,NTT,EBITDA,FY18,310483000.0
21,NTT,EBITDA,FY17,271652000.0
22,NTT,EBITDA,FY16,248847000.0
23,NTT,EBITDA,FY15,230911000.0
24,NTT,Interest Expense,FY18,6051000.0
25,NTT,Interest Expense,FY17,5372000.0
26,NTT,Interest Expense,FY16,5492000.0
27,NTT,Interest Expense,FY15,5782000.0
28,NTT,Net Income,FY18,58173000.0
29,NTT,Net Income,FY17,65686000.0
30,NTT,Net Income,FY16,63373000.0
31,NTT,Net Income,FY15,32144000.0
32,TELUS,EBIT,FY18,2887000.0
33,TELUS,EBIT,FY17,2781000.0
34,TELUS,EBIT,FY16,2617000.0
35,TELUS,EBIT,FY15,2537000.0
36,TELUS,EBITDA,FY18,4616000.0
37,TELUS,EBITDA,FY17,4450000.0
38,TELUS,EBITDA,FY16,4228000.0
39,TELUS,EBITDA,FY15,4050000.0
40,TELUS,Interest Expense,FY18,625000.0
41,TELUS,Interest Expense,FY17,579000.0
42,TELUS,Interest Expense,FY16,502000.0
43,TELUS,Interest Expense,FY15,470000.0
44,TELUS,Net Income,FY18,1600000.0
45,TELUS,Net Income,FY17,1559000.0
46,TELUS,Net Income,FY16,1223000.0
47,TELUS,Net Income,FY15,1382000.0
48,MAXIMUS,EBIT,FY18,299783.0
49,MAXIMUS,EBIT,FY17,315187.0
50,MAXIMUS,EBIT,FY16,280555.0
51,MAXIMUS,EBIT,FY15,264577.0
52,MAXIMUS,EBITDA,FY18,350775.0
53,MAXIMUS,EBITDA,FY17,372564.0
54,MAXIMUS,EBITDA,FY16,343136.0
55,MAXIMUS,EBITDA,FY15,310874.0
56,MAXIMUS,Interest Expense,FY18,1000.0
57,MAXIMUS,Interest Expense,FY17,2162.0
58,MAXIMUS,Interest Expense,FY16,4134.0
59,MAXIMUS,Interest Expense,FY15,1398.0
60,MAXIMUS,Net Income,FY18,220751.0
61,MAXIMUS,Net Income,FY17,209426.0
62,MAXIMUS,Net Income,FY16,178362.0
63,MAXIMUS,Net Income,FY15,157772.0
64,ACCENTURE,EBIT,FY18,5841041.0
65,ACCENTURE,EBIT,FY17,5142402.0
66,ACCENTURE,EBIT,FY16,4810445.0
67,ACCENTURE,EBIT,FY15,4500251.0
68,ACCENTURE,EBITDA,FY18,6434699.0
69,ACCENTURE,EBITDA,FY17,5654636.0
70,ACCENTURE,EBITDA,FY16,5256063.0
71,ACCENTURE,EBITDA,FY15,4911189.0
72,ACCENTURE,Interest Expense,FY18,19539.0
73,ACCENTURE,Interest Expense,FY17,15545.0
74,ACCENTURE,Interest Expense,FY16,16258.0
75,ACCENTURE,Interest Expense,FY15,14578.0
76,ACCENTURE,Net Income,FY18,4059907.0
77,ACCENTURE,Net Income,FY17,3445149.0
78,ACCENTURE,Net Income,FY16,4111892.0
79,ACCENTURE,Net Income,FY15,3053581.0
80,COGNIZANT,EBIT,FY18,2836000.0
81,COGNIZANT,EBIT,FY17,2589000.0
82,COGNIZANT,EBIT,FY16,2316000.0
83,COGNIZANT,EBIT,FY15,2142000.0
84,COGNIZANT,EBITDA,FY18,3320000.0
85,COGNIZANT,EBITDA,FY17,3032000.0
86,COGNIZANT,EBITDA,FY16,2695000.0
87,COGNIZANT,EBITDA,FY15,2472000.0
88,COGNIZANT,Interest Expense,FY18,27000.0
89,COGNIZANT,Interest Expense,FY17,23000.0
90,COGNIZANT,Interest Expense,FY16,19000.0
91,COGNIZANT,Interest Expense,FY15,18000.0
92,COGNIZANT,Net Income,FY18,2101000.0
93,COGNIZANT,Net Income,FY17,1504000.0
94,COGNIZANT,Net Income,FY16,1553000.0
95,COGNIZANT,Net Income,FY15,1624000.0
96,CGI,EBIT,FY18,1699280.0
97,CGI,EBIT,FY17,1581829.0
98,CGI,EBIT,FY16,1556098.0
99,CGI,EBIT,FY15,1466773.0
100,CGI,EBITDA,FY18,1930268.0
101,CGI,EBITDA,FY17,1811984.0
102,CGI,EBITDA,FY16,1816228.0
103,CGI,EBITDA,FY15,1756830.0
104,CGI,Interest Expense,FY18,62875.0
105,CGI,Interest Expense,FY17,62022.0
106,CGI,Interest Expense,FY16,70257.0
107,CGI,Interest Expense,FY15,86252.0
108,CGI,Net Income,FY18,1141402.0
109,CGI,Net Income,FY17,1035195.0
110,CGI,Net Income,FY16,1068716.0
111,CGI,Net Income,FY15,977556.0
112,DXC,EBIT,FY18,3046000.0
113,DXC,EBIT,FY17,441000.0
114,DXC,EBIT,FY16,195000.0
115,DXC,EBIT,FY15,102000.0
116,DXC,EBITDA,FY18,5019000.0
117,DXC,EBITDA,FY17,1088000.0
118,DXC,EBITDA,FY16,872000.0
119,DXC,EBITDA,FY15,738000.0
120,DXC,Interest Expense,FY18,335000.0
121,DXC,Interest Expense,FY17,117000.0
122,DXC,Interest Expense,FY16,123000.0
123,DXC,Interest Expense,FY15,126000.0
124,DXC,Net Income,FY18,1751000.0
125,DXC,Net Income,FY17,123000.0
126,DXC,Net Income,FY16,251000.0
127,DXC,Net Income,FY15,2000.0
128,IBM,EBIT,FY18,12230000.0
129,IBM,EBIT,FY17,11898000.0
130,IBM,EBIT,FY16,14170000.0
131,IBM,EBIT,FY15,16517000.0
132,IBM,EBITDA,FY18,16710000.0
133,IBM,EBITDA,FY17,16439000.0
134,IBM,EBITDA,FY16,18551000.0
135,IBM,EBITDA,FY15,20372000.0
136,IBM,Interest Expense,FY18,723000.0
137,IBM,Interest Expense,FY17,615000.0
138,IBM,Interest Expense,FY16,630000.0
139,IBM,Interest Expense,FY15,468000.0
140,IBM,Net Income,FY18,8728000.0
141,IBM,Net Income,FY17,5753000.0
142,IBM,Net Income,FY16,11872000.0
143,IBM,Net Income,FY15,13190000.0
144,TCS,Total Revenue,FY18,1464630000.0
145,TCS,Total Revenue,FY17,1231040000.0
146,TCS,Total Revenue,FY16,1179660000.0
147,TCS,Total Revenue,FY15,1086460000.0
148,NTT,Total Revenue,FY18,2117167000.0
149,NTT,Total Revenue,FY17,1732473000.0
150,NTT,Total Revenue,FY16,1614897000.0
151,NTT,Total Revenue,FY15,1511812000.0
152,TELUS,Total Revenue,FY18,14095000.0
153,TELUS,Total Revenue,FY17,13305000.0
154,TELUS,Total Revenue,FY16,12725000.0
155,TELUS,Total Revenue,FY15,12430000.0
156,MAXIMUS,Total Revenue,FY18,2392236.0
157,MAXIMUS,Total Revenue,FY17,2450961.0
158,MAXIMUS,Total Revenue,FY16,2403360.0
159,MAXIMUS,Total Revenue,FY15,2099821.0
160,ACCENTURE,Total Revenue,FY18,39573450.0
161,ACCENTURE,Total Revenue,FY17,34850182.0
162,ACCENTURE,Total Revenue,FY16,32882723.0
163,ACCENTURE,Total Revenue,FY15,31047931.0
164,COGNIZANT,Total Revenue,FY18,16125000.0
165,COGNIZANT,Total Revenue,FY17,14810000.0
166,COGNIZANT,Total Revenue,FY16,13487000.0
167,COGNIZANT,Total Revenue,FY15,12416000.0
168,CGI,Total Revenue,FY18,11506825.0
169,CGI,Total Revenue,FY17,10845066.0
170,CGI,Total Revenue,FY16,10683264.0
171,CGI,Total Revenue,FY15,10287096.0
172,DXC,Total Revenue,FY18,24556000.0
173,DXC,Total Revenue,FY17,7607000.0
174,DXC,Total Revenue,FY16,7106000.0
175,DXC,Total Revenue,FY15,8117000.0
176,IBM,Total Revenue,FY18,79591000.0
177,IBM,Total Revenue,FY17,79139000.0
178,IBM,Total Revenue,FY16,79919000.0
179,IBM,Total Revenue,FY15,81741000.0
180,TCS,Assets,FY18,1149430000.0
181,TCS,Assets,FY17,1062960000.0
182,TCS,Assets,FY16,1032520000.0
183,TCS,Assets,FY15,890960000.0
184,TCS,Total Debt,FY18,250440000.0
185,TCS,Total Debt,FY17,207660000.0
186,TCS,Total Debt,FY16,166720000.0
187,TCS,Total Debt,FY15,176690000.0
188,TCS,Equity,FY18,894460000.0
189,TCS,Equity,FY17,851280000.0
190,TCS,Equity,FY16,862140000.0
191,TCS,Equity,FY15,710720000.0
192,NTT,Assets,FY18,2234277000.0
193,NTT,Assets,FY17,2234809000.0
194,NTT,Assets,FY16,1860319000.0
195,NTT,Assets,FY15,1822837000.0
196,NTT,Total Debt,FY18,1365416000.0
197,NTT,Total Debt,FY17,1404541000.0
198,NTT,Total Debt,FY16,1086649000.0
199,NTT,Total Debt,FY15,1016633000.0
200,NTT,Long Term Debt,FY18,468860000.0
201,NTT,Long Term Debt,FY17,328693000.0
202,NTT,Long Term Debt,FY16,319513000.0
203,NTT,Long Term Debt,FY15,349511000.0
204,NTT,Equity,FY18,833858000.0
205,NTT,Equity,FY17,798701000.0
206,NTT,Equity,FY16,740908000.0
207,NTT,Equity,FY15,773493000.0
