Metric,Company,FY18,FY17,FY16,FY15
EBIT,TCS,"374,560,000","305,180,000","303,410,000","288,140,000"
EBITA,TCS,,,,
EBITDA,TCS,"395,120,000","325,320,000","323,280,000","307,020,000"
Interest Expense,TCS,"1,980,000","520,000","320,000","330,000"
Net Income,TCS,"314,720,000","258,260,000","262,890,000","242,700,000"
EBIT,NTT,"123,523,000","117,110,000","100,886,000","84,015,000"
EBITA,NTT,,,,
EBITDA,NTT,"310,483,000","271,652,000","248,847,000","230,911,000"
Interest Expense,NTT,"6,051,000","5,372,000","5,492,000","5,782,000"
Net Income,NTT,"58,173,000","65,686,000","63,373,000","32,144,000"
EBIT,TELUS,"2,887,000","2,781,000","2,617,000","2,537,000"
EBITA,TELUS,,,,
EBITDA,TELUS,"4,616,000","4,450,000","4,228,000","4,050,000"
Interest Expense,TELUS,"625,000","579,000","502,000","470,000"
Net Income,TELUS,"1,600,000","1,559,000","1,223,000","1,382,000"
EBIT,MAXIMUS,"299,783","315,187","280,555","264,577"
EBITA,MAXIMUS,,,,
EBITDA,MAXIMUS,"350,775","372,564","343,136","310,874"
Interest Expense,MAXIMUS,"1,000","2,162","4,134","1,398"
Net Income,MAXIMUS,"220,751","209,426","178,362","157,772"
EBIT,ACCENTURE,"5,841,041","5,142,402","4,810,445","4,500,251"
EBITA,ACCENTURE,,,,
EBITDA,ACCENTURE,"6,434,699","5,654,636","5,256,063","4,911,189"
Interest Expense,ACCENTURE,"19,539","15,545","16,258","14,578"
Net Income,ACCENTURE,"4,059,907","3,445,149","4,111,892","3,053,581"
EBIT,COGNIZANT,"2,836,000","2,589,000","2,316,000","2,142,000"
EBITA,COGNIZANT,,,,
EBITDA,COGNIZANT,"3,320,000","3,032,000","2,695,000","2,472,000"
Interest Expense,COGNIZANT,"27,000","23,000","19,000","18,000"
Net Income,COGNIZANT,"2,101,000","1,504,000","1,553,000","1,624,000"
EBIT,CGI,"1,699,280","1,581,829","1,556,098","1,466,773"
EBITA,CGI,,,,
EBITDA,CGI,"1,930,268","1,811,984","1,816,228","1,756,830"
Interest Expense,CGI,"62,875","62,022","70,257","86,252"
Net Income,CGI,"1,141,402","1,035,195","1,068,716","977,556"
EBIT,DXC,"3,046,000","441,000","195,000","-102,000"
EBITA,DXC,,,,
EBITDA,DXC,"5,019,000","1,088,000","872,000","738,000"
Interest Expense,DXC,"335,000","117,000","123,000","126,000"
Net Income,DXC,"1,751,000","-123,000","251,000","2,000"
EBIT,IBM,"12,230,000","11,898,000","14,170,000","16,517,000"
EBITA,IBM,,,,
EBITDA,IBM,"16,710,000","16,439,000","18,551,000","20,372,000"
Interest Expense,IBM,"723,000","615,000","630,000","468,000"
Net Income,IBM,"8,728,000","5,753,000","11,872,000","13,190,000"
Total Revenue,TCS,1464630000,1231040000,1179660000,1086460000
Total Revenue,NTT,2117167000,1732473000,1614897000,1511812000
Total Revenue,TELUS,14095000,13305000,12725000,12430000
